,OBJECTID,Shape,NAME,GRADE,TYPE,ADDRESS,CITY,ZIP,phone,WEBSITE,SCHOOL,Latitude,Longitude,school.search.name,schoolid,schoolName,url,urlCompare,lowGrade,highGrade,schoolLevel,isCharterSchool,isMagnetSchool,isVirtualSchool,isTitleISchool,isTitleISchoolwideSchool,rankMovement,locationIsWithinBoundary,isPrivate,privateDays,privateHours,privateHasLibrary,privateCoed,privateOrientation,hasBoundary,year,numberOfStudents,PercentFreeDiscLunch,PercentOfAfricanAmericanStudents,percentofAsianStudents,percentofHispanicStudents,percentofIndianStudents,percentofPacificIslanderStudents,PercentOfWhiteStudents,percentofTwoOrMoreRaceStudents,percentofUnspecifiedRaceStudents,teachersFulltime,PupilTeacherRatio,numberofAfricanAmericanStudents,numberofAsianStudents,numberofHispanicStudents,numberofIndianStudents,numberofPacificIslanderStudents,numberofWhiteStudents,numberofTwoOrMoreRaceStudents,numberofUnspecifiedRaceStudents,rankLevel,RankStatewidePercentage,averageStandardScore
41,48,"47.61337342100006, -122.30928639899997",Seattle World School,12-Jun,Option,1700 E Union St.,Seattle,98122,(206)252-2200,http://sws.seattleschools.org/,T.T. Minor,47.61337342,-122.3092864,Seattle+World+School,5.31E+11,Seattle World School,https://www.schooldigger.com/go/WA/schools/0771001311/school.aspx,https://www.schooldigger.com/go/WA/schools/0771001311/search.aspx,6,12,Alternative,No,(n/a),No,Yes,Yes,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,2015,250,0.76,33.6,31.2,30.4,0,0,3.6,1.2,NA,19,13.1,84,78,76,0,0,9,3,NA,NA,NA,NA
42,50,"47.62442342500003, -122.31837891599997",Lowell,K - 5,Elementary,1058 E Mercer St.,Seattle,98102,(206) 252-3020,http://lowelles.seattleschools.org/,Lowell,47.62442343,-122.3183789,Lowell,5.31E+11,Lowell Elementary School - Seattle,https://www.schooldigger.com/go/WA/schools/0771001205/school.aspx,https://www.schooldigger.com/go/WA/schools/0771001205/search.aspx,PK,5,Elementary,No,(n/a),No,Yes,Yes,117,NA,FALSE,NA,NA,NA,NA,NA,TRUE,2015,286,0.45,29.02,12.24,8.04,1.05,0.35,36.71,12.59,NA,24,11.9,83,35,23,3,1,105,36,NA,Elementary,21.46,25.74257
43,51,"47.63145623100007, -122.30786488499996",Stevens,K - 5,Elementary,1242 18th Ave. E,Seattle,98112,(206) 252-3400,http://stevenses.seattleschools.org/,Stevens,47.63145623,-122.3078649,Stevens,5.31E+11,Stevens Elementary School,https://www.schooldigger.com/go/WA/schools/0771001251/school.aspx,https://www.schooldigger.com/go/WA/schools/0771001251/search.aspx,K,5,Elementary,No,(n/a),No,Yes,Yes,-306,NA,FALSE,NA,NA,NA,NA,NA,TRUE,2015,365,0.34,20.82,5.48,9.32,0.82,0,52.88,10.68,NA,30,12.1,76,20,34,3,0,193,39,NA,Elementary,35.14,38.37371
44,53,"47.632898485000055, -122.35171657999996",Hay,K - 5,Elementary,201 Garfield St.,Seattle,98109,(206) 252-2100,http://hayes.seattleschools.org/,John Hay,47.63289849,-122.3517166,Hay,5.31E+11,John Hay Elementary School,https://www.schooldigger.com/go/WA/schools/0771001192/school.aspx,https://www.schooldigger.com/go/WA/schools/0771001192/search.aspx,K,5,Elementary,No,(n/a),No,No,(n/a),-64,NA,FALSE,NA,NA,NA,NA,NA,TRUE,2015,520,0.12,3.65,14.04,9.42,0,0,60.58,12.31,NA,35,14.8,19,73,49,0,0,315,64,NA,Elementary,91.64,89.57214
45,54,"47.63407775100006, -122.28483179199998",McGilvra,K - 5,Elementary,1617 38th Ave. E.,Seattle,98112,(206) 252-3160,http://mcgilvraes.seattleschools.org/,McGilvra,47.63407775,-122.2848318,McGilvra,5.31E+11,McGilvra Elementary School,https://www.schooldigger.com/go/WA/schools/0771001214/school.aspx,https://www.schooldigger.com/go/WA/schools/0771001214/search.aspx,K,5,Elementary,No,(n/a),No,No,(n/a),-7,NA,FALSE,NA,NA,NA,NA,NA,TRUE,2015,286,0.1,9.79,10.84,5.24,0,0,62.59,11.54,NA,20,14.3,28,31,15,0,0,179,33,NA,Elementary,89.36,87.15543
46,55,"47.63682628500004, -122.35895523099998",McClure,8-Jun,Middle School,1915 1st Ave. W,Seattle,98119,(206) 252-1900,http://mcclurems.seattleschools.org/,McClure,47.63682629,-122.3589552,McClure,5.31E+11,McClure Middle School,https://www.schooldigger.com/go/WA/schools/0771001212/school.aspx,https://www.schooldigger.com/go/WA/schools/0771001212/search.aspx,6,8,Middle,No,(n/a),No,No,(n/a),18,NA,FALSE,NA,NA,NA,NA,NA,TRUE,2015,540,0.16,5.37,9.63,10.56,1.11,0.19,66.48,6.67,NA,29,18.6,29,52,57,6,1,359,36,NA,Middle,83.45,79.52286
47,56,"47.63796374100008, -122.34896919299996",Queen Anne,K - 5,Option Elementary,411 Boston St.,Seattle,98109,(206) 252-2480,http://queenannees.seattleschools.org/,Queen Anne,47.63796374,-122.3489692,Queen+Anne,5.31E+11,Queen Anne Elementary,https://www.schooldigger.com/go/WA/schools/0771003318/school.aspx,https://www.schooldigger.com/go/WA/schools/0771003318/search.aspx,K,5,Elementary,No,(n/a),No,No,(n/a),293,NA,FALSE,NA,NA,NA,NA,NA,TRUE,2015,399,0.08,2.01,6.27,8.02,0,0.25,69.92,13.53,NA,23,17.3,8,25,32,0,1,279,54,NA,Elementary,87.46,85.934
48,57,"47.640632638000056, -122.30428420299995",Montlake,K - 5,Elementary,2409 22nd Ave. E.,Seattle,98112,(206) 252-3300,http://montlakees.seattleschools.org/,Montlake,47.64063264,-122.3042842,Montlake,5.31E+11,Montlake Elementary School,https://www.schooldigger.com/go/WA/schools/0771001219/school.aspx,https://www.schooldigger.com/go/WA/schools/0771001219/search.aspx,K,5,Elementary,No,(n/a),No,No,(n/a),76,NA,FALSE,NA,NA,NA,NA,NA,TRUE,2015,251,0.06,7.17,8.76,4.78,0.4,0.4,66.93,11.55,NA,17,14.7,18,22,12,1,1,168,29,NA,Elementary,93.45,91.30783
49,58,"47.64051598800006, -122.36559910799997",Coe,K - 5,Elementary,2424 7th Ave. W,Seattle,98119,(206) 252-2000,http://coees.seattleschools.org/,Frantz Coe,47.64051599,-122.3655991,Coe,5.31E+11,Frantz Coe Elementary School,https://www.schooldigger.com/go/WA/schools/0771001151/school.aspx,https://www.schooldigger.com/go/WA/schools/0771001151/search.aspx,K,5,Elementary,No,(n/a),No,No,(n/a),-37,NA,FALSE,NA,NA,NA,NA,NA,TRUE,2015,502,0.16,2.99,6.77,12.35,0.2,0.4,71.71,5.58,NA,34,14.7,15,34,62,1,2,360,28,NA,Elementary,92.97,91.17229
50,60,"47.642286858000034, -122.32417847199997",TOPS K-8,K - 8,Option Elementary,2500  Franklin Ave. E,Seattle,98102,(206) 252-3510,http://www.topsk8.org/,Seward,47.64228686,-122.3241785,TOPS,5.31E+11,Tops K-8 School,https://www.schooldigger.com/go/WA/schools/0771001307/school.aspx,https://www.schooldigger.com/go/WA/schools/0771001307/search.aspx,PK,8,Elementary,No,(n/a),No,No,(n/a),346,NA,FALSE,NA,NA,NA,NA,NA,FALSE,2015,502,0.32,16.73,20.32,6.77,0.6,0.2,48.01,7.37,NA,29,17.3,84,102,34,3,1,241,37,NA,Elementary,78.73,77.178
51,62,"47.65708003100008, -122.33802753599997",Hamilton Int'l,8-Jun,Middle School,1610 N 41st St.,Seattle,98103,(206) 252-5810,http://hamiltonms.seattleschools.org/,Hamilton Int'l,47.65708003,-122.3380275,Hamilton,5.31E+11,Hamilton International Middle School,https://www.schooldigger.com/go/WA/schools/0771001180/school.aspx,https://www.schooldigger.com/go/WA/schools/0771001180/search.aspx,6,8,Middle,No,(n/a),No,No,(n/a),11,NA,FALSE,NA,NA,NA,NA,NA,TRUE,2015,945,0.09,2.22,8.99,6.35,0.32,0,74.81,7.3,NA,48,19.6,21,85,60,3,0,707,69,NA,Middle,93.42,91.46629
52,63,"47.657528256000035, -122.32405186999995",John Stanford Int'l,K - 5,Option Elementary,4057 5th Ave. NE,Seattle,98105,(206) 252-6080,http://stanfordes.seattleschools.org/,John Stanford Int'l,47.65752826,-122.3240519,John+Stanford,5.31E+11,John Stanford International School,https://www.schooldigger.com/go/WA/schools/0771001197/school.aspx,https://www.schooldigger.com/go/WA/schools/0771001197/search.aspx,K,5,Elementary,No,(n/a),No,No,(n/a),15,NA,FALSE,NA,NA,NA,NA,NA,TRUE,2015,469,0.08,0.85,10.87,13.22,0.85,0,56.93,17.27,NA,27,17.3,4,51,62,4,0,267,81,NA,Elementary,97.06,94.29325
53,64,"47.656712406000054, -122.39047452099999",Lawton,K - 5,Elementary,4000 27th Ave. W.,Seattle,98199,(206) 252-2130,http://lawtonelementary.org/,Lawton,47.65671241,-122.3904745,Lawton,5.31E+11,Lawton Elementary School,https://www.schooldigger.com/go/WA/schools/0771001199/school.aspx,https://www.schooldigger.com/go/WA/schools/0771001199/search.aspx,K,5,Elementary,No,(n/a),No,No,(n/a),62,NA,FALSE,NA,NA,NA,NA,NA,TRUE,2015,419,0.11,1.91,5.73,6.92,0.24,0.24,72.08,12.89,NA,24,17.4,8,24,29,1,1,302,54,NA,Elementary,96.11,93.21257
54,66,"47.662198035000074, -122.27796307499995",Laurelhurst,K - 5,Elementary,4530 46th Ave. NE,Seattle,98105,(206) 252-5400,http://laurelhurstes.seattleschools.org/,Laurelhurst,47.66219804,-122.2779631,Laurelhurst,5.31E+11,Laurelhurst Elementary School,https://www.schooldigger.com/go/WA/schools/0771001198/school.aspx,https://www.schooldigger.com/go/WA/schools/0771001198/search.aspx,K,5,Elementary,No,(n/a),No,No,(n/a),12,NA,FALSE,NA,NA,NA,NA,NA,TRUE,2015,422,0.17,3.79,11.37,4.03,0,0,71.8,9,NA,27,15.6,16,48,17,0,0,303,38,NA,Elementary,86.23,84.454
55,67,"47.668275608000044, -122.32659538599995",McDonald Int'l,K - 5,Option Elementary,144 NE 54th St.,Seattle,98105,(206)252-2900,http://mcdonaldes.seattleschools.org/,McDonald Int'l,47.66827561,-122.3265954,McDonald,5.31E+11,McDonald International School,https://www.schooldigger.com/go/WA/schools/0771003332/school.aspx,https://www.schooldigger.com/go/WA/schools/0771003332/search.aspx,K,5,Elementary,No,(n/a),No,No,(n/a),39,NA,FALSE,NA,NA,NA,NA,NA,TRUE,2015,408,0.06,0.49,4.66,11.76,0,0,67.89,15.2,NA,24,17,2,19,48,0,0,277,62,NA,Elementary,96.2,93.33857
56,68,"47.67059930500005, -122.36224678099995",West Woodland,K - 5,Elementary,5601 4th Ave. NW,Seattle,98107,(206) 252-1600,http://www.westwoodlandes.seattleschools.org/,West Woodland,47.67059931,-122.3622468,West+Woodland,5.31E+11,West Woodland Elementary School,https://www.schooldigger.com/go/WA/schools/0771001263/school.aspx,https://www.schooldigger.com/go/WA/schools/0771001263/search.aspx,K,5,Elementary,No,(n/a),No,No,(n/a),-12,NA,FALSE,NA,NA,NA,NA,NA,TRUE,2015,520,0.08,2.12,5.77,6.35,0,0,76.54,9.23,NA,33,15.7,11,30,33,0,0,398,48,NA,Elementary,98.29,96.23971
57,69,"47.67184194400005, -122.29220552399994",Bryant,K - 5,Elementary,3311 NE 60th St.,Seattle,98115,(206) 252-5200,http://bryantes.seattleschools.org/,Bryant,47.67184194,-122.2922055,Bryant,5.31E+11,Bryant Elementary School,https://www.schooldigger.com/go/WA/schools/0771001146/school.aspx,https://www.schooldigger.com/go/WA/schools/0771001146/search.aspx,K,5,Elementary,No,(n/a),No,No,(n/a),10,NA,FALSE,NA,NA,NA,NA,NA,TRUE,2015,589,0.05,1.02,7.13,6.11,0.17,0.17,74.7,10.7,NA,33,17.8,6,42,36,1,1,440,63,NA,Elementary,98.48,96.2982
58,70,"47.673632146000045, -122.39151960199996",Adams,K - 5,Elementary,6110 28th Ave NW,Seattle,98107,(206) 252-1300,http://adamses.seattleschools.org/,Adams,47.67363215,-122.3915196,Adams,5.31E+11,Adams Elementary School,https://www.schooldigger.com/go/WA/schools/0771001127/school.aspx,https://www.schooldigger.com/go/WA/schools/0771001127/search.aspx,K,5,Elementary,No,(n/a),No,No,(n/a),48,NA,FALSE,NA,NA,NA,NA,NA,TRUE,2015,536,0.18,4.48,4.1,12.31,0.37,0.19,68.47,10.07,NA,32,16.7,24,22,66,2,1,367,54,NA,Elementary,82.43,80.36686
59,71,"47.67630161000005, -122.32849785799999",Green Lake,K - 5,Elementary,2400 N 65th St.,Seattle,98103,(206) 252-5320,http://www.greenlakedragons.org/,Green Lake,47.67630161,-122.3284979,Green+Lake,5.31E+11,Green Lake Elementary School,https://www.schooldigger.com/go/WA/schools/0771001176/school.aspx,https://www.schooldigger.com/go/WA/schools/0771001176/search.aspx,PK,5,Elementary,No,(n/a),No,No,(n/a),-143,NA,FALSE,NA,NA,NA,NA,NA,TRUE,2015,301,0.15,2.66,4.32,5.98,0.33,0,77.74,8.97,NA,21,14.3,8,13,18,1,0,234,27,NA,Elementary,68.85,68.00086
60,72,"47.677231394000046, -122.31280953499999",Roosevelt,12-Sep,High School,1410 NE 66th St.,Seattle,98115,(206) 252-4810,http://roosevelths.seattleschools.org/,Roosevelt,47.67723139,-122.3128095,Roosevelt,5.31E+11,Roosevelt High School,https://www.schooldigger.com/go/WA/schools/0771001239/school.aspx,https://www.schooldigger.com/go/WA/schools/0771001239/search.aspx,9,12,High,No,(n/a),No,No,(n/a),89,NA,FALSE,NA,NA,NA,NA,NA,TRUE,2015,1721,0.13,4.53,12.26,9.53,0.64,0.06,66.71,6.28,NA,84,20.4,78,211,164,11,1,1148,108,NA,High,98.04,92.06767
61,73,"47.67724814300004, -122.32231534799996",Loyal Heights (interim at John Marshall),K - 5,Elementary,520 NE Ravenna Blvd.,Seattle,98115,(206)252-3580,http://loyalheightses.seattleschools.org/,John Marshall,47.67724814,-122.3223153,Loyal+Heights,5.31E+11,Loyal Heights Elementary School,https://www.schooldigger.com/go/WA/schools/0771001206/school.aspx,https://www.schooldigger.com/go/WA/schools/0771001206/search.aspx,K,5,Elementary,No,(n/a),No,No,(n/a),15,NA,FALSE,NA,NA,NA,NA,NA,TRUE,2015,450,0.08,2.44,1.56,4.67,0,0,81.78,9.56,NA,26,17.3,11,7,21,0,0,368,43,NA,Elementary,97.15,94.4992
62,74,"47.676610769000035, -122.37488866899997",Ballard,12-Sep,High School,1418 NW 65th St.,Seattle,98117,(206) 252-1000,http://ballardhs.seattleschools.org/,Ballard,47.67661077,-122.3748887,Ballard,5.31E+11,Ballard High School,https://www.schooldigger.com/go/WA/schools/0771001138/school.aspx,https://www.schooldigger.com/go/WA/schools/0771001138/search.aspx,9,12,High,No,(n/a),No,No,(n/a),NA,NA,FALSE,NA,NA,NA,NA,NA,TRUE,2015,1669,0.16,4.49,7.01,10.31,1.08,0.36,71.84,4.91,NA,79,21.1,75,117,172,18,6,1199,82,NA,High,60.13,62.09433
63,76,"47.68068710700004, -122.27533216899997",View Ridge,K - 5,Elementary,7047 50th Ave. NE,Seattle,98115,(206) 252-5600,http://viewridgees.seattleschools.org/,View Ridge,47.68068711,-122.2753322,View+Ridge,5.31E+11,View Ridge Elementary School,https://www.schooldigger.com/go/WA/schools/0771001256/school.aspx,https://www.schooldigger.com/go/WA/schools/0771001256/search.aspx,PK,5,Elementary,No,(n/a),No,No,(n/a),17,NA,FALSE,NA,NA,NA,NA,NA,TRUE,2015,584,0.06,1.37,10.45,6.51,0.51,0.17,69.18,11.82,NA,38,15.3,8,61,38,3,1,404,69,NA,Elementary,97.72,95.459
64,77,"47.68252010600003, -122.29498266199994",Eckstein,8-Jun,Middle School,3003 NE 75th St.,Seattle,98115,(206) 252-5010,http://ecksteinms.seattleschools.org/,Eckstein,47.68252011,-122.2949827,Eckstein,5.31E+11,Eckstein Middle School,https://www.schooldigger.com/go/WA/schools/0771001162/school.aspx,https://www.schooldigger.com/go/WA/schools/0771001162/search.aspx,6,8,Middle,No,(n/a),No,No,(n/a),-3,NA,FALSE,NA,NA,NA,NA,NA,TRUE,2015,882,0.15,5.33,11.22,7.14,0.45,0.23,67.35,8.28,NA,44,20,47,99,63,4,2,594,73,NA,Middle,92.29,90.35186
65,78,"47.68358982400008, -122.37307537899994",Whittier,K - 5,Elementary,1320 NW 75th St.,Seattle,98117,(206) 252-1650,http://whittieres.seattleschools.org/,Whittier,47.68358982,-122.3730754,Whittier,5.31E+11,Whittier Elementary School,https://www.schooldigger.com/go/WA/schools/0771001265/school.aspx,https://www.schooldigger.com/go/WA/schools/0771001265/search.aspx,K,5,Elementary,No,(n/a),No,No,(n/a),-22,NA,FALSE,NA,NA,NA,NA,NA,TRUE,2015,466,0.1,2.58,6.01,4.29,0,0,78.11,9.01,NA,27,17.2,12,28,20,0,0,364,42,NA,Elementary,92.21,90.00586
66,79,"47.685032902000046, -122.28266756199997",Thornton Creek,K - 5,Option Elementary,7711 43rd Ave. NE,Seattle,98115,(206) 252-5300,http://thorntoncreek.org/,Thornton Creek,47.6850329,-122.2826676,Thornton+Creek,5.31E+11,Thornton Creek Elementary School,https://www.schooldigger.com/go/WA/schools/0771001253/school.aspx,https://www.schooldigger.com/go/WA/schools/0771001253/search.aspx,PK,5,Elementary,No,(n/a),No,No,(n/a),247,NA,FALSE,NA,NA,NA,NA,NA,FALSE,2015,401,0.08,1.75,4.24,6.48,0.25,0,73.57,13.72,NA,28,14.3,7,17,26,1,0,295,55,NA,Elementary,44.54,45.92871
67,80,"47.686357067000074, -122.34230487199994",Bagley,K - 5,Elementary,7821 Stone Ave. N,Seattle,98103,(206) 252-5110,http://bagleyes.seattleschools.org/home,Bagley,47.68635707,-122.3423049,Bagley,5.31E+11,Daniel Bagley Elementary School,https://www.schooldigger.com/go/WA/schools/0771001137/school.aspx,https://www.schooldigger.com/go/WA/schools/0771001137/search.aspx,K,5,Elementary,No,(n/a),No,No,(n/a),-5,NA,FALSE,NA,NA,NA,NA,NA,TRUE,2015,426,0.15,4.46,9.15,7.28,0,0,68.08,11.03,NA,28,15.2,19,39,31,0,0,290,47,NA,Elementary,86.8,85.11214
68,82,"47.687253895000026, -122.35996029999995",Greenwood,K - 5,Elementary,144 NW 80th St.,Seattle,98117,(206) 252-1400,http://greenwoodes.seattleschools.org/,Greenwood,47.6872539,-122.3599603,Greenwood,5.31E+11,Greenwood Elementary School,https://www.schooldigger.com/go/WA/schools/0771001177/school.aspx,https://www.schooldigger.com/go/WA/schools/0771001177/search.aspx,PK,5,Elementary,No,(n/a),No,No,(n/a),-57,NA,FALSE,NA,NA,NA,NA,NA,TRUE,2015,389,0.18,6.94,6.43,10.8,0.51,0.51,66.58,8.23,NA,22,17.6,27,25,42,2,2,259,32,NA,Elementary,83.57,81.39171
69,83,"47.69053804600003, -122.29705381699995",Wedgwood,K - 5,Elementary,2720 NE 85th St.,Seattle,98115,(206) 252-5670,http://wedgwoodes.seattleschools.org/,Wedgwood,47.69053805,-122.2970538,Wedgwood,5.31E+11,Wedgwood Elementary School,https://www.schooldigger.com/go/WA/schools/0771001261/school.aspx,https://www.schooldigger.com/go/WA/schools/0771001261/search.aspx,K,5,Elementary,No,(n/a),No,No,(n/a),11,NA,FALSE,NA,NA,NA,NA,NA,TRUE,2015,460,0.09,1.74,16.74,8.04,0,0,59.35,14.13,NA,30,15.3,8,77,37,0,0,273,65,NA,Elementary,98.96,96.71017
70,84,"47.694974512000044, -122.38703549999997",North Beach,K - 5,Elementary,9018 24th Ave. NW,Seattle,98117,(206) 252-1510,http://northbeaches.seattleschools.org/,North Beach,47.69497451,-122.3870355,North+Beach,5.31E+11,North Beach Elementary School,https://www.schooldigger.com/go/WA/schools/0771001223/school.aspx,https://www.schooldigger.com/go/WA/schools/0771001223/search.aspx,K,5,Elementary,No,(n/a),No,No,(n/a),-85,NA,FALSE,NA,NA,NA,NA,NA,TRUE,2015,300,0.09,2,4.67,7,0.33,0.67,70.67,14.67,NA,21,14.2,6,14,21,1,2,212,44,NA,Elementary,88.6,86.70314
71,85,"47.69675145200006, -122.37760192299999",Whitman,8-Jun,Middle School,9201 15th Ave. NW,Seattle,98117,(206) 252-1200,http://whitmanms.seattleschools.org/,Whitman,47.69675145,-122.3776019,Whitman,5.31E+11,Whitman Middle School,https://www.schooldigger.com/go/WA/schools/0771001264/school.aspx,https://www.schooldigger.com/go/WA/schools/0771001264/search.aspx,K,8,Elementary,No,(n/a),No,No,(n/a),NA,NA,FALSE,NA,NA,NA,NA,NA,TRUE,2015,906,0.26,8.94,7.51,12.47,1.32,0.22,60.82,8.72,NA,46,19.6,81,68,113,12,2,551,79,NA,NA,NA,NA
72,86,"47.69823172200006, -122.32125786999995",Olympic View,K - 5,Elementary,504 NE 95th St.,Seattle,98115,(206) 252-5500,http://olympicviewes.seattleschools.org/,Olympic View,47.69823172,-122.3212579,Olympic+View,5.31E+11,Olympic View Elementary School,https://www.schooldigger.com/go/WA/schools/0771001229/school.aspx,https://www.schooldigger.com/go/WA/schools/0771001229/search.aspx,K,5,Elementary,No,(n/a),No,Yes,No,53,NA,FALSE,NA,NA,NA,NA,NA,TRUE,2015,457,0.33,12.25,13.35,10.5,0.66,0.66,51.2,11.38,NA,29,15.7,56,61,48,3,3,234,52,NA,Elementary,81.67,79.78186
73,87,"47.698448545000076, -122.30747272299999",Sacajawea,K - 5,Elementary,9501 20th Ave. NE,Seattle,98115,(206) 252-5550,http://sacajaweaes.seattleschools.org/,Sacajawea,47.69844855,-122.3074727,Sacajawea,5.31E+11,Sacajawea Elementary School,https://www.schooldigger.com/go/WA/schools/0771001242/school.aspx,https://www.schooldigger.com/go/WA/schools/0771001242/search.aspx,K,5,Elementary,No,(n/a),No,No,(n/a),-190,NA,FALSE,NA,NA,NA,NA,NA,TRUE,2015,266,0.27,9.02,9.4,11.28,0,0,60.53,9.77,NA,20,13.3,24,25,30,0,0,161,26,NA,Elementary,38.08,40.61914
74,89,"47.70597281600004, -122.36112944499996",Viewlands,K - 5,Elementary,10525 3rd Ave. NW,Seattle,98177,(206) 252-4400,http://viewlandses.seattleschools.org/,Viewlands,47.70597282,-122.3611294,Viewlands,5.31E+11,Viewlands Elementary School,https://www.schooldigger.com/go/WA/schools/0771003356/school.aspx,https://www.schooldigger.com/go/WA/schools/0771003356/search.aspx,PK,5,Elementary,No,(n/a),No,Yes,Yes,-220,NA,FALSE,NA,NA,NA,NA,NA,TRUE,2015,363,0.49,10.47,9.09,21.49,1.38,0,46.28,11.29,NA,28,12.9,38,33,78,5,0,168,41,NA,Elementary,33.33,35.93929
75,90,"47.70742643500006, -122.28463372999994",John Rogers,K - 5,Elementary,4030 NE 109th St.,Seattle,98125,(206) 252-4320,http://rogerses.seattleschools.org/,John Rogers,47.70742644,-122.2846337,John+Rogers,5.31E+11,John Rogers Elementary School,https://www.schooldigger.com/go/WA/schools/0771001193/school.aspx,https://www.schooldigger.com/go/WA/schools/0771001193/search.aspx,K,5,Elementary,No,(n/a),No,Yes,Yes,-30,NA,FALSE,NA,NA,NA,NA,NA,TRUE,2015,352,0.38,11.93,8.52,14.77,0,0.57,52.27,11.93,NA,25,14,42,30,52,0,2,184,42,NA,Elementary,63.06,63.494
76,91,"47.70762860900004, -122.29453073299999",Nathan Hale,12-Sep,High School,10750 30th Ave. NE,Seattle,98125,(206) 252-3680,http://halehs.seattleschools.org/,Nathan Hale,47.70762861,-122.2945307,Nathan+Hale,5.31E+11,Nathan Hale High School,https://www.schooldigger.com/go/WA/schools/0771001222/school.aspx,https://www.schooldigger.com/go/WA/schools/0771001222/search.aspx,9,12,High,No,(n/a),No,No,(n/a),NA,NA,FALSE,NA,NA,NA,NA,NA,TRUE,2015,1165,0.29,12.96,13.3,11.5,1.37,0.34,53.73,6.78,NA,60,19.4,151,155,134,16,4,626,79,NA,High,88.89,82.1255
77,92,"47.714867164000054, -122.32958504599998",Northgate,K - 5,Elementary,11725 1st Ave. NE,Seattle,98125,(206) 252-4180,http://northgatees.seattleschools.org/,Northgate,47.71486716,-122.329585,Northgate,5.31E+11,Northgate Elementary School,https://www.schooldigger.com/go/WA/schools/0771001225/school.aspx,https://www.schooldigger.com/go/WA/schools/0771001225/search.aspx,PK,5,Elementary,No,(n/a),No,Yes,Yes,-46,NA,FALSE,NA,NA,NA,NA,NA,TRUE,2015,207,0.76,22.22,7.25,35.75,0.48,2.42,19.32,12.56,NA,18,11.5,46,15,74,1,5,40,26,NA,Elementary,16.52,20.96557
78,95,"47.72581399900008, -122.28753061799995",Olympic Hills (interim at Cedar Park),K - 5,Elementary,13224 37th Ave. NE,Seattle,98125,(206) 252-4300,http://olympichillses.seattleschools.org/,Cedar Park,47.725814,-122.2875306,Olympic+Hills,5.31E+11,Olympic Hills Elementary School,https://www.schooldigger.com/go/WA/schools/0771001228/school.aspx,https://www.schooldigger.com/go/WA/schools/0771001228/search.aspx,PK,5,Elementary,No,(n/a),No,Yes,Yes,70,NA,FALSE,NA,NA,NA,NA,NA,TRUE,2015,298,0.66,25.5,14.77,25.5,0.67,2.35,21.48,9.73,NA,25,11.9,76,44,76,2,7,64,29,NA,Elementary,89.84,87.70329
79,96,"47.72569939400006, -122.33683812599998",Ingraham Int'l,12-Sep,High School,1819 N 135th St.,Seattle,98133,(206) 252-3880,http://ingrahamhs.seattleschools.org/,Ingraham Int'l,47.72569939,-122.3368381,Ingraham,5.31E+11,Ingraham High School,https://www.schooldigger.com/go/WA/schools/0771001187/school.aspx,https://www.schooldigger.com/go/WA/schools/0771001187/search.aspx,9,12,High,No,(n/a),No,No,(n/a),NA,NA,FALSE,NA,NA,NA,NA,NA,TRUE,2015,1214,0.28,9.06,16.89,11.37,0.74,0.16,55.44,6.34,NA,59,20.5,110,205,138,9,2,673,77,NA,High,87.91,81.295
80,97,"47.673651549000056, -122.26293322199996",Sand Point,K - 5,Elementary,6208 60th Ave. NE,Seattle,98115,(206) 252-4640,http://sandpointes.seattleschools.org/,Sand Point,47.67365155,-122.2629332,Sand+Point,5.31E+11,Sand Point Elementary,https://www.schooldigger.com/go/WA/schools/0771003316/school.aspx,https://www.schooldigger.com/go/WA/schools/0771003316/search.aspx,K,5,Elementary,No,(n/a),No,Yes,Yes,217,NA,FALSE,NA,NA,NA,NA,NA,TRUE,2015,271,0.38,16.61,18.08,12.92,0,0,36.16,16.24,NA,22,12.3,45,49,35,0,0,98,44,NA,Elementary,60.87,60.90771
81,104,"47.56360478600004, -122.35799712399995",Pathfinder K-8,K - 8,Option Elementary,1901 SW Genesee St.,Seattle,98106,(206) 252-9710,http://pathfinderk8.seattleschools.org/,Pathfinder,47.56360479,-122.3579971,Pathfinder,5.31E+11,Pathfinder K-8 School,https://www.schooldigger.com/go/WA/schools/0771001102/school.aspx,https://www.schooldigger.com/go/WA/schools/0771001102/search.aspx,K,8,Elementary,No,(n/a),No,No,(n/a),-130,NA,FALSE,NA,NA,NA,NA,NA,FALSE,2015,506,0.21,5.14,6.32,10.87,0.99,0,65.81,10.87,NA,35,14.4,26,32,55,5,0,333,55,NA,Elementary,60.3,60.402
82,105,"47.64225735800005, -122.39926242999996",Catharine Blaine K-8,K - 8,Elementary,2550 34th Ave. W,Seattle,98199,(206) 252-1920,http://blainek8.seattleschools.org/,Catharine Blaine,47.64225736,-122.3992624,Catharine+Blaine,5.31E+11,Catharine Blaine K-8 School,https://www.schooldigger.com/go/WA/schools/0771002017/school.aspx,https://www.schooldigger.com/go/WA/schools/0771002017/search.aspx,K,8,Elementary,No,(n/a),No,No,(n/a),13,NA,FALSE,NA,NA,NA,NA,NA,TRUE,2015,680,0.07,2.21,5,5.29,0.29,0.29,73.82,13.09,NA,36,18.8,15,34,36,2,2,502,89,NA,Elementary,94.49,91.84122
